,card,reports,age,income,share,expenditure,owner,selfemp,dependents,months,majorcards,active
0,1,0,37.66667,4.52,0.03326991,124.9833,1,0,3,54,1,12
1,1,0,33.25,2.42,0.005216942,9.854167,0,0,3,34,1,13
2,1,0,33.66667,4.5,0.0041555559999999,15.0,1,0,4,58,1,5
3,1,0,30.5,2.54,0.06521378,137.8692,0,0,0,25,1,7
4,1,0,32.16667,9.7867,0.06705059,546.5033,1,0,2,64,1,5
5,1,0,23.25,2.5,0.0444384,91.99667,0,0,0,54,1,1
6,1,0,27.91667,3.96,0.01257576,40.83333,0,0,2,7,1,5
7,1,0,29.16667,2.37,0.07643376,150.79,1,0,0,77,1,3
8,1,0,37.0,3.8,0.2456279,777.8217,1,0,0,97,1,6
9,1,0,28.41667,3.2,0.01978,52.58,0,0,0,65,1,18
10,1,0,30.5,3.95,0.07802456,256.6642,1,0,1,24,1,20
11,0,0,42.0,1.98,0.0006060605999999,0.0,1,0,2,36,1,0
12,0,0,30.0,1.73,0.0006936416,0.0,1,0,1,42,0,12
13,1,0,28.83333,2.45,0.03879551,78.87416999999999,1,0,0,26,1,3
14,1,0,35.33333,1.908,0.02690671,42.615,1,0,2,120,0,5
15,1,0,41.16667,3.2,0.1258194,335.435,1,0,1,168,1,22
16,1,0,40.08333,4.0,0.07481575,248.7192,1,0,2,96,1,0
17,0,7,29.5,3.0,0.0004,0.0,1,0,2,60,1,8
18,1,0,39.5,9.9999,0.06579486,548.035,1,1,0,28,1,0
19,0,3,45.75,3.4,0.0003529412,0.0,0,0,0,28,1,10
20,1,0,35.25,2.35,0.02238596,43.33917,1,0,2,115,1,1
21,0,1,25.16667,1.875,0.00064,0.0,0,0,2,7,0,2
22,1,0,34.25,2.0,0.1311119999999999,218.52,1,0,0,12,1,0
23,1,1,35.75,4.0,0.05119225,170.6408,0,0,2,18,1,22
24,1,0,42.66667,5.14,0.008949417,37.58333,1,0,2,13,1,17
25,1,0,30.25,4.506,0.1337421,502.2017,0,0,2,38,1,7
26,0,0,21.66667,3.84,0.0003125,0.0,0,1,1,12,0,1
27,1,0,22.25,1.5,0.058608,73.17667,0,0,0,64,1,6
28,0,0,34.25,2.5,0.0004799999999999,0.0,1,0,1,12,1,0
29,1,0,40.0,5.5,0.3344595999999999,1532.773,1,0,4,74,1,19
30,1,0,21.83333,2.0272,0.02532014,42.69083,0,0,0,9,0,5
31,1,1,29.41667,3.2,0.1567194,417.835,0,0,0,14,1,6
32,0,1,24.91667,3.15,0.0003809523999999,0.0,1,0,1,40,1,5
33,1,0,21.0,2.4663,0.2689327999999999,552.7242,1,0,1,12,1,10
34,1,0,23.83333,3.0,0.08901566,222.5392,0,0,0,12,1,5
35,1,0,42.83333,3.5412,0.1834562,541.2958,1,0,6,108,1,15
36,0,0,42.58333,2.2845,0.000525279,0.0,0,0,2,46,1,0
