,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
0,600000.0,2,2,1,24,0.0,20670.0,0.0,0.0,0.0,0.0,1
1,3600000.0,2,2,2,26,0.0,30000.0,30000.0,30000.0,0.0,60000.0,1
2,2700000.0,2,2,2,34,45540.0,45000.0,30000.0,30000.0,30000.0,150000.0,0
3,1500000.0,2,2,1,37,60000.0,60570.0,36000.0,33000.0,32070.0,30000.0,0
4,1500000.0,1,2,1,57,60000.0,1100430.0,300000.0,270000.0,20670.0,20370.0,0
5,1500000.0,1,1,2,37,75000.0,54450.0,19710.0,30000.0,30000.0,24000.0,0
6,15000000.0,1,1,2,29,1650000.0,1200000.0,1140000.0,607170.0,412500.0,413100.0,0
7,3000000.0,2,2,2,23,11400.0,18030.0,0.0,17430.0,50610.0,46260.0,0
8,4200000.0,2,3,1,28,99870.0,0.0,12960.0,30000.0,30000.0,30000.0,0
9,600000.0,1,3,2,35,0.0,0.0,0.0,390210.0,33660.0,0.0,0
10,6000000.0,2,3,2,34,69180.0,360.0,1500.0,9000.0,112140.0,1980.0,0
11,7800000.0,2,1,2,51,654540.0,298980.0,257490.0,669030.0,0.0,109200.0,0
12,18900000.0,2,2,2,41,30000.0,195000.0,195000.0,195000.0,86100.0,0.0,0
13,2100000.0,1,2,2,30,96000.0,0.0,90000.0,90000.0,45000.0,0.0,1
14,7500000.0,1,1,2,29,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,0
15,1500000.0,2,3,3,23,0.0,45000.0,33000.0,36000.0,39000.0,33000.0,0
16,600000.0,1,1,2,24,96000.0,0.0,45000.0,0.0,49500.0,0.0,1
17,9600000.0,1,1,1,49,310740.0,300000.0,2278200.0,600000.0,5867970.0,1500000.0,0
18,10800000.0,2,1,1,49,0.0,0.0,0.0,0.0,0.0,0.0,0
19,5400000.0,2,1,2,29,0.0,0.0,0.0,0.0,0.0,0.0,0
20,3900000.0,2,3,2,39,90000.0,46110.0,30000.0,60000.0,27900.0,1012920.0,0
21,3600000.0,2,2,1,39,9480.0,9480.0,0.0,18960.0,9480.0,0.0,1
22,2100000.0,2,2,2,26,60210.0,107460.0,0.0,108030.0,0.0,54600.0,1
23,13500000.0,2,1,1,40,582840.0,44190.0,16800.0,0.0,0.0,33840.0,1
24,2700000.0,1,1,2,23,172710.0,0.0,161940.0,36000.0,61350.0,60000.0,0
25,1500000.0,1,3,2,23,59190.0,42780.0,30030.0,42960.0,31860.0,29910.0,0
26,1800000.0,1,1,2,27,0.0,30000.0,0.0,15000.0,0.0,30000.0,1
27,1500000.0,2,3,2,30,39000.0,39000.0,30000.0,45000.0,30000.0,30360.0,0
28,1500000.0,2,3,1,47,102450.0,102630.0,61320.0,912900.0,7710.0,0.0,0
29,1500000.0,1,1,2,26,45000.0,45000.0,30000.0,30000.0,48000.0,0.0,0
30,6900000.0,2,1,2,27,518100.0,398430.0,460170.0,429210.0,1118760.0,0.0,0
31,1500000.0,1,2,2,33,51540.0,45000.0,30000.0,30000.0,30000.0,21480.0,1
32,3000000.0,1,1,2,32,90690.0,105330.0,99060.0,96120.0,96000.0,75120.0,0
33,15000000.0,2,2,1,54,124560.0,684810.0,225630.0,2143170.0,29430.0,1547460.0,0
34,15000000.0,1,1,1,58,150180.0,935340.0,95400.0,0.0,158790.0,23040.0,0
35,4800000.0,1,1,2,30,3930.0,11880.0,11880.0,16950.0,23760.0,0.0,0
36,8400000.0,1,2,1,40,240780.0,241800.0,189000.0,192000.0,192000.0,202110.0,0
37,1800000.0,2,2,2,22,45000.0,45540.0,61290.0,0.0,1430130.0,18510.0,0
38,1500000.0,1,1,2,25,23400.0,0.0,0.0,0.0,0.0,0.0,1
39,8400000.0,1,1,2,31,272250.0,0.0,299280.0,240000.0,285750.0,23430.0,0
40,10800000.0,1,1,2,33,300000.0,210000.0,180000.0,5665200.0,840000.0,120000.0,0
41,2100000.0,2,1,2,25,90000.0,135000.0,121260.0,75000.0,84000.0,75000.0,0
42,300000.0,1,2,2,22,45000.0,87810.0,30000.0,9000.0,30000.0,15000.0,0
43,4200000.0,2,2,1,37,90000.0,90000.0,90000.0,120000.0,120000.0,90000.0,0
44,1200000.0,2,1,2,30,90000.0,150000.0,0.0,60000.0,90000.0,0.0,0
45,6300000.0,1,1,2,29,0.0,0.0,0.0,0.0,0.0,0.0,1
46,600000.0,2,1,2,22,90000.0,0.0,502230.0,10020.0,0.0,0.0,1
47,4500000.0,2,5,2,46,30390.0,35100.0,0.0,0.0,0.0,0.0,1
48,11400000.0,1,2,2,32,646200.0,454140.0,740310.0,355530.0,356250.0,247530.0,0
49,600000.0,1,1,2,24,39540.0,39450.0,21120.0,27840.0,27360.0,32070.0,0
50,2100000.0,1,3,2,42,0.0,93000.0,60000.0,0.0,45000.0,45000.0,1
51,3000000.0,2,3,3,43,60000.0,48180.0,45000.0,60000.0,45000.0,30000.0,0
52,9300000.0,2,2,1,49,236250.0,228000.0,335550.0,106320.0,13920.0,0.0,0
53,5400000.0,2,1,2,25,39000.0,60300.0,52860.0,52860.0,53700.0,48660.0,0
54,4500000.0,2,1,2,29,48000.0,51540.0,31470.0,45000.0,60000.0,150000.0,0
55,15000000.0,2,1,1,45,109200.0,4860.0,0.0,4530.0,75900.0,0.0,0
56,5400000.0,2,3,1,34,255000.0,45000.0,225000.0,20370.0,270000.0,60000.0,0
57,5400000.0,2,2,1,34,242490.0,218880.0,157590.0,144420.0,144480.0,114000.0,0
58,6000000.0,2,1,2,34,0.0,0.0,21000.0,0.0,36000.0,0.0,0
59,12000000.0,2,2,1,29,510000.0,450870.0,900000.0,360000.0,360000.0,690000.0,0
60,15000000.0,2,3,1,28,45480.0,39000.0,30000.0,30000.0,60000.0,60000.0,1
61,2100000.0,1,2,1,39,120750.0,62850.0,30000.0,60000.0,90000.0,0.0,0
62,1500000.0,1,1,2,29,0.0,81000.0,0.0,66750.0,36000.0,0.0,1
63,1500000.0,2,2,1,46,30000.0,0.0,0.0,0.0,0.0,0.0,1
64,3900000.0,2,2,1,51,0.0,0.0,0.0,70590.0,0.0,0.0,0
65,6000000.0,1,1,1,57,0.0,0.0,246660.0,9000.0,0.0,30000.0,1
66,300000.0,1,2,1,56,69000.0,0.0,4500.0,6000.0,6000.0,4800.0,1
67,6300000.0,2,1,2,30,9000.0,34770.0,68400.0,9000.0,127500.0,27270.0,0
68,3900000.0,2,3,2,29,0.0,0.0,604830.0,0.0,219570.0,416970.0,0
69,600000.0,1,5,2,22,0.0,36000.0,30000.0,15000.0,30000.0,0.0,0
70,2400000.0,1,1,2,31,0.0,11700.0,11700.0,11700.0,11700.0,11700.0,0
71,9600000.0,1,2,2,29,75000.0,75000.0,0.0,144000.0,72000.0,48000.0,1
72,6000000.0,2,2,1,32,174540.0,450.0,273060.0,510.0,94950.0,41850.0,0
73,8700000.0,2,1,2,37,0.0,94650.0,0.0,70770.0,0.0,0.0,0
74,10200000.0,1,1,2,32,171390.0,703590.0,129420.0,2416560.0,778470.0,60480.0,0
75,600000.0,1,2,2,24,85500.0,0.0,18300.0,18900.0,45000.0,0.0,0
76,1500000.0,1,3,2,25,52770.0,53370.0,9600.0,15000.0,30000.0,30000.0,0
77,9000000.0,2,1,1,45,8730.0,8730.0,8730.0,8730.0,8730.0,8730.0,0
78,900000.0,2,2,2,22,50580.0,42000.0,16800.0,90000.0,52950.0,0.0,1
