,card,reports,age,income,expenditure,owner,selfemp,dependents,majorcards,active
0,1,0,37.66667,4.52,124.9833,1,0,3,1,12
1,1,0,33.25,2.42,9.854167,0,0,3,1,13
2,1,0,33.66667,4.5,15.0,1,0,4,1,5
3,1,0,30.5,2.54,137.8692,0,0,0,1,7
4,1,0,32.16667,9.7867,546.5033,1,0,2,1,5
5,1,0,23.25,2.5,91.99667,0,0,0,1,1
6,1,0,27.91667,3.96,40.83333,0,0,2,1,5
7,1,0,29.16667,2.37,150.79,1,0,0,1,3
8,1,0,37.0,3.8,777.8217,1,0,0,1,6
9,1,0,28.41667,3.2,52.58,0,0,0,1,18
10,1,0,30.5,3.95,256.6642,1,0,1,1,20
11,0,0,42.0,1.98,0.0,1,0,2,1,0
12,0,0,30.0,1.73,0.0,1,0,1,0,12
13,1,0,28.83333,2.45,78.87416999999999,1,0,0,1,3
14,1,0,35.33333,1.908,42.615,1,0,2,0,5
15,1,0,41.16667,3.2,335.435,1,0,1,1,22
16,1,0,40.08333,4.0,248.7192,1,0,2,1,0
17,0,7,29.5,3.0,0.0,1,0,2,1,8
18,1,0,39.5,9.9999,548.035,1,1,0,1,0
19,0,3,45.75,3.4,0.0,0,0,0,1,10
20,1,0,35.25,2.35,43.33917,1,0,2,1,1
21,0,1,25.16667,1.875,0.0,0,0,2,0,2
22,1,0,34.25,2.0,218.52,1,0,0,1,0
23,1,1,35.75,4.0,170.6408,0,0,2,1,22
24,1,0,42.66667,5.14,37.58333,1,0,2,1,17
25,1,0,30.25,4.506,502.2017,0,0,2,1,7
26,0,0,21.66667,3.84,0.0,0,1,1,0,1
27,1,0,22.25,1.5,73.17667,0,0,0,1,6
28,0,0,34.25,2.5,0.0,1,0,1,1,0
29,1,0,40.0,5.5,1532.773,1,0,4,1,19
30,1,0,21.83333,2.0272,42.69083,0,0,0,0,5
31,1,1,29.41667,3.2,417.835,0,0,0,1,6
32,0,1,24.91667,3.15,0.0,1,0,1,1,5
33,1,0,21.0,2.4663,552.7242,1,0,1,1,10
34,1,0,23.83333,3.0,222.5392,0,0,0,1,5
35,1,0,42.83333,3.5412,541.2958,1,0,6,1,15
36,0,0,42.58333,2.2845,0.0,0,0,2,1,0
37,1,0,36.58333,5.7,568.7742,1,0,1,1,16
38,1,0,26.75,3.5,344.4708,0,0,0,1,14
39,1,0,27.75,4.6,405.3517,1,0,4,1,13
40,1,0,26.25,3.0,310.9375,1,0,0,1,10
41,1,0,23.33333,2.585,53.645,0,0,0,1,1
42,1,0,29.91667,1.51,63.91667,0,0,1,0,1
43,1,0,30.0,1.85,165.855,0,0,0,1,12
44,1,0,38.33333,2.6,9.583333,0,0,0,1,1
45,0,0,28.16667,1.8,0.0,0,1,2,1,2
46,1,0,35.58333,2.0,319.49,0,0,0,1,4
47,0,0,37.75,3.2628,0.0,0,0,1,0,1
48,1,0,26.08333,2.35,83.08334,0,0,1,0,2
49,1,0,27.75,7.0,644.8283,1,0,0,1,13
50,0,0,49.75,3.6,0.0,0,0,2,0,0
51,1,0,24.25,2.0,93.1975,0,0,0,1,12
52,1,0,20.66667,1.7,105.045,0,0,0,1,4
53,1,0,23.75,2.8,34.125,0,0,2,1,8
54,1,0,25.75,2.4,41.18917,0,0,0,1,2
55,1,1,32.91667,3.0,169.8883,0,0,0,0,5
56,1,0,34.33333,4.8,1898.033,0,0,3,1,1
57,1,0,33.25,3.18,810.3917,0,0,4,0,3
58,0,0,44.66667,1.8,0.0,0,0,2,0,0
59,1,0,21.16667,1.5,32.775,0,0,0,1,4
60,1,2,25.08333,3.0,95.79916,0,0,0,0,4
61,1,0,27.16667,2.28,27.78,0,0,3,1,5
62,1,0,26.41667,2.8,215.0692,0,0,1,1,16
63,1,0,22.0,2.7,79.51083,0,0,0,1,0
64,0,3,27.33333,4.9,0.0,1,0,2,1,15
65,0,0,26.16667,2.5,0.0,0,1,0,0,0
66,1,0,40.75,6.0,306.0317,0,1,2,1,16
67,1,0,42.08333,3.9,104.5358,0,0,0,1,2
68,0,0,21.66667,5.1,0.0,0,0,0,1,0
69,1,0,24.66667,3.074,642.4742,0,0,0,1,0
70,1,0,30.75,2.4585,308.0492,1,0,2,1,16
71,1,0,27.41667,2.0,186.3533,0,0,0,1,5
72,1,0,33.0,3.248,56.14917,0,0,2,0,2
73,1,0,37.33333,2.725,129.3733,0,0,2,1,14
74,1,0,26.58333,2.2,93.10667,0,0,0,1,10
75,0,1,24.33333,4.1,0.0,0,0,1,0,4
76,1,0,24.25,3.75,292.6633,0,0,0,1,11
77,1,0,25.25,2.88,98.46416,0,0,0,1,0
78,1,0,0.5,3.05,258.5492,0,0,1,1,5
79,1,0,32.83333,2.55,101.6833,0,0,2,1,18
80,0,0,32.75,4.0,0.0,0,0,2,1,0
81,1,1,54.58333,2.64,65.24667,1,0,1,1,19
82,1,0,19.58333,1.65,108.6075,0,0,0,1,8
83,1,0,29.33333,2.4,49.55583,0,0,0,1,4
84,0,3,40.16667,3.7099,0.0,0,0,2,1,11
85,1,0,40.75,7.24,235.5717,1,0,2,1,13
86,0,0,41.25,4.386,0.0,1,0,3,1,9
87,0,0,34.5,3.3,0.0,1,0,2,0,18
88,0,0,23.66667,2.3040000000000003,0.0,0,0,1,1,0
89,0,1,53.66667,4.18,0.0,0,0,1,1,2
90,0,2,34.0,2.4875,0.0,0,0,1,1,3
91,0,0,44.91667,2.8055,0.0,1,0,5,1,0
92,1,0,43.41667,2.4,68.38417,0,0,0,1,0
93,0,4,35.16667,1.5,0.0,0,0,1,1,9
94,0,2,35.83333,8.4,0.0,0,0,2,1,12
95,1,0,21.66667,1.56,0.0,0,0,0,1,2
96,1,1,32.66667,6.0,474.15,1,0,0,1,6
97,1,1,25.41667,3.6,234.0483,0,0,2,1,4
98,1,0,26.25,5.0,451.205,1,0,0,1,16
99,1,0,46.0,5.5,251.5208,1,0,2,1,7
100,1,1,35.0,9.9999,917.54,1,0,0,1,29
101,0,0,35.0,4.55,0.0,1,0,3,1,15
